Timestamp,ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - DA LMP - Latest (Now),ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Price - Hub: HB_BUSAVG - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Dispatchable Outages (Planned) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Dispatchable Outages (Unplanned) - Latest (Now),ERCOT - Load - System Wide - ISO: Actual - Load - Latest (Now),ERCOT - Load - System Wide - ISO: Forecast - Load - Prior Day (Rolling),ERCOT - Load - System Wide - ENV: Actual - Net Load - Latest (Now),ERCOT - Load - System Wide - ENV: Actual - Temperature - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Actual - Generation - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Generation - Wind - System Wide - ISO: Actual - Generation (5 min) - Latest (Now),ERCOT - Generation - Wind - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Grid Conditions - System Wide - ISO: Actual - PRC - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Fuel Mix (Natural Gas) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Energy Storage Resources (Net Output) - Latest (Now)
2026-01-01T00:00:00-06:00,20.51,17.807,18.337,1077,12335.5,46223.92,47770.67,25448,47,0.26,0,20745.91,19835.3,12729.33,18030.95,-3178.25
2026-01-01T01:00:00-06:00,20.79,19.355,20.04,1077,12404.83,46209.83,47027.23,26311,46,0.29,0,19962.73,19354.9,13863.08,18711.36,-2842.64
2026-01-01T02:00:00-06:00,20.98,20.597,21.3,1077,12701,46147.25,46767.94,27900,45,0.33,0,18286.77,18496.3,14320.27,18989.06,-1226.11
2026-01-01T03:00:00-06:00,21.77,21.805,22.552,1077,12701,46249.33,46862.89,29727,44,0.29,0,16516.56,17480.8,14229.83,19871.66,-672.03
2026-01-01T04:00:00-06:00,23.65,22.628,23.19,1077,12805.33,46722.67,47393.94,30955,44,0.32,0,15721.3,16417,14046.49,20419.74,-361.33
2026-01-01T05:00:00-06:00,28.59,23.413,23.793,1077,12159,47436.92,48553.71,32469,43,0.29,0,14918.38,15248.9,13545.18,20994.75,219.55
2026-01-01T06:00:00-06:00,32.38,23.392,23.603,1077,11999.67,48468.83,49975.7,34744,42,0.28,0,13670.34,14213.6,12387.09,21027.45,2011.17
2026-01-01T07:00:00-06:00,32.07,23.23,23.392,1077,11929,49000.92,51137.87,35384,43,590.46,480.6,12995.57,13427,11538.43,20959.08,2528.28
2026-01-01T08:00:00-06:00,21.23,17.777,17.845,1077,11970,48735.33,51002.61,27426,50,9085.62,8205.4,12346.68,12569.8,12992.22,17147.75,-496.94
2026-01-01T09:00:00-06:00,17.09,14.747,15.482,1077,12141.5,47992.25,49790.63,20674,56,17991.8,17515.2,9543.97,10374.4,14305.46,12632.03,-1346.82
2026-01-01T10:00:00-06:00,17.35,15.347,19.18,1077,12092,47157.58,48461.87,20861,62,19571.73,19197.8,6777.22,7428.1,14461.94,12589.27,-751.09
2026-01-01T11:00:00-06:00,15.28,14.088,18.46,1077,12278.17,46421.5,47364.33,20633,66,19601.04,19135.3,6197.61,6407.1,14437.54,12146.2,-774.99
2026-01-01T12:00:00-06:00,15.31,14.568,15.93,1077,12069,46117.5,46572.18,20878,70,18312.66,18193.3,6847.08,7359.5,14730.4,12073.83,-1042.01
2026-01-01T13:00:00-06:00,13.64,12.26,13.71,1077,12064,45836.58,46142.49,19845,71,17676.81,17785.6,8275.58,9219.6,15261.2,11416.93,-1356.38
2026-01-01T14:00:00-06:00,9.91,14.85,14.925,1077,12081.5,45736,46152.89,19031,72,15996.45,17233.3,10575.41,11109.6,15246.55,11589.54,-2322.79
2026-01-01T15:00:00-06:00,13.19,15.018,15.018,1077,12106.5,45796.17,46330.62,21091,71,11524.64,15153.1,13058.7,12522.4,15146.25,12358.82,-1453.37
2026-01-01T16:00:00-06:00,20.78,18.795,18.795,1077,12111,46208.42,46524.71,25310,69,5742.48,8787.8,15041.16,13858,14658.25,15059.53,-537.45
2026-01-01T17:00:00-06:00,25.62,22.08,22.08,1077,11985.67,47517.58,47540.82,30878,67,1054.38,1010.7,15385.87,16045.4,12332.02,16327.96,3040.76
2026-01-01T18:00:00-06:00,25.14,20.015,20.05,1077,11909,48577.25,49094.91,30026,65,0.64,0,18364.26,19228.6,12316.96,16092.4,2196.12
2026-01-01T19:00:00-06:00,20.25,17.467,17.742,1077,11920.92,48221.67,48902.09,27106,64,0.59,0,21050.63,22279,12790.49,15408.57,472.88
2026-01-01T20:00:00-06:00,16.71,14.363,15.12,1077,11804,47670.25,48684.87,24306,63,0.6,0,23319.6,24824.5,13379.28,13701.18,79.53
2026-01-01T21:00:00-06:00,14.24,13.005,13.555,1077,11811,46938,47961.64,21783,63,0.63,0,25160.32,26780.9,13819.44,12099.65,10.57
2026-01-01T22:00:00-06:00,15.72,14.8,15.165,1077,11771,45606.33,46628.92,20474,63,0.65,0,25467.69,28117.9,13803.24,10596.43,-106.75
2026-01-01T23:00:00-06:00,13.75,14.495,14.578,1077,11810.58,44105.58,45136.38,18985,62,0.64,0,25004.6,28953.2,14316.82,10152.51,-701.24
2026-01-02T00:00:00-06:00,15.67,14.95,14.97,1077,12269.33,42846.17,43797.26,18600,61,0.62,0,24249.05,28809.4,14162.6,9371.55,-539.72
2026-01-02T01:00:00-06:00,12.48,13.197,13.105,1077,12281,41719.42,42456.71,17638,60,0.67,0,24143.94,28575.3,14555.74,8906.19,-886.43
2026-01-02T02:00:00-06:00,10.43,12.255,12.07,1077,12286.33,41128,41719.69,17153,59,0.86,0,23968.95,28101.8,15183.61,8797.46,-1336.96
2026-01-02T03:00:00-06:00,10.46,9.257,9.065,1077,12289.67,41003.17,41564.17,17005,59,0.71,0,23997.16,27414.1,15623.38,8425.82,-1101.82
2026-01-02T04:00:00-06:00,13.78,10.572,10.373,1077,12290,41479.25,41913.06,17863,57,0.66,0,23559.35,26590.5,15257.17,8546.86,-264.9
2026-01-02T05:00:00-06:00,16.77,13.737,13.512,1077,12302.5,42527.75,43228.98,18809,57,0.81,0,23569.3,25873,14724.36,8848.24,326.52
2026-01-02T06:00:00-06:00,18.99,16.582,16.36,1077,12591.33,44257.08,45109.27,20744,56,0.7,0,23377.31,25223.6,13974.47,9471.57,1177.51
2026-01-02T07:00:00-06:00,19.89,16.403,16.178,1077,13002.5,45542.33,46588.71,21620,56,493.33,374.5,23335.02,24314.1,13194.77,9514.4,1830.58
2026-01-02T08:00:00-06:00,15.47,2.893,2.828,1077,12980,46167.25,47580.27,15686,62,9533.94,8067.1,21113.14,20729.9,15129.35,8100.64,-1871.5
2026-01-02T09:00:00-06:00,2.77,-2.522,-2.522,1077,12977.58,46705.08,48468.05,12413,67,17888.58,19506.2,16481.71,18412.1,16732.8,7176.62,-3199.5
2026-01-02T10:00:00-06:00,2.16,-2.06,-2.06,1077,13137.17,47282.5,48914.46,12227,72,19074.94,22710.9,15937.63,16680.9,16861.74,7055.03,-2889.68
2026-01-02T11:00:00-06:00,2.85,-2.022,-2.022,1077,13236.5,47943.75,49336.56,13484,76,18532.32,23131.9,15865.54,16167.8,16480.6,7035.28,-1484.12
2026-01-02T12:00:00-06:00,4.79,-1.182,-1.18,1077,12946,48968,50002.08,14131,78,19409.83,22736.1,15349.99,15672.6,15763.58,7204.04,-1026.58
2026-01-02T13:00:00-06:00,9.82,-0.487,-0.512,1077,12895,50001.75,50910.28,15072,80,20035.54,23033.9,14827.72,14962.8,15582.85,7539.57,-413.98
2026-01-02T14:00:00-06:00,10.22,-0.883,-0.63,1077,12894.33,51031.33,51795.6,16098,81,20427.95,24166.2,14407.97,14219.3,15702.4,8288.65,-92.93
2026-01-02T15:00:00-06:00,9.34,-1.095,-0.658,1077,12797,52033.17,52501.11,17910,81,19926.59,23797.5,13972.5,13674.4,15765.1,10440.64,-378.34
2026-01-02T16:00:00-06:00,19.43,13.78,13.14,1077,12795,52555.17,52567,23890,79,13565.13,14459.1,15008.53,13063.5,15087.47,15068.46,564
2026-01-02T17:00:00-06:00,41.52,23.507,23.47,1077,12633,52175.83,52376.88,35190,73,1685.22,1620.7,15228.85,14922.9,11558.16,19468.95,4640.06
2026-01-02T18:00:00-06:00,31.11,21.525,21.525,1077,12480,52084.92,52362.21,34959,68,0.28,0.1,17091.36,16434.1,11844.54,19435.54,3595.46
2026-01-02T19:00:00-06:00,23.97,17.993,17.993,1077,12318.75,50809.75,51198.32,31329,66,0.18,0,19467.7,18562.3,12844.62,18548.56,782.54
2026-01-02T20:00:00-06:00,21.97,16.247,16.247,1077,11812.5,49834.33,50434.9,29026,64,0.2,0,20829.64,20167.9,13493.76,17448.68,241.34
2026-01-02T21:00:00-06:00,19.97,15.885,15.907,1077,11740,48694.83,49250.47,27787,63,0.18,0,20910.36,21162.9,13705.28,16708.71,-7.74
2026-01-02T22:00:00-06:00,20.54,15.83,15.845,1077,11726.67,47209.5,47790.18,26294,61,0.2,0,21879.97,21484.7,14095.15,15176.12,-719.57
2026-01-02T23:00:00-06:00,19.15,14.368,14.26,1077,11729,45515.92,46027.26,24619,60,0.21,0,22280.15,21442.9,14853.37,13351,-548.08
2026-01-03T00:00:00-06:00,15.63,16.312,16.057,1077,11721.33,43953.25,44890.44,22847,58,0.22,0,21221.36,22612.9,15125.62,13662.22,-1102.44
2026-01-03T01:00:00-06:00,15.78,15.225,14.882,1077,11788.17,42788.25,43783.08,22626,57,0.24,0,20223.98,21296.2,15942.49,13027.43,-1286.76
2026-01-03T02:00:00-06:00,16.12,15.985,15.615,1077,12086.5,41957,43261.14,23333,57,0.19,0,18715.21,20000.9,15790.31,13733.52,-1402.81
2026-01-03T03:00:00-06:00,17.52,14.298,14.35,1077,11988.25,41395.92,43029.06,22865,57,0.21,0,18512.41,18717.8,16027.28,13198.51,-1012.54
2026-01-03T04:00:00-06:00,16.49,13.97,13.97,1077,11662,41304.17,43322.71,22986,56,0.21,0,18313.16,17566.2,16050.83,13390.91,-711.56
2026-01-03T05:00:00-06:00,20.06,15.012,15.495,1077,11662,41655,45271.49,24660,54,0.21,0,16997.93,16569.7,15440.69,13921.48,197.64
2026-01-03T06:00:00-06:00,22.32,17.7,18.145,1077,11628.67,42616.17,48053.36,27284,53,0.24,0,15309.8,15176.7,14528.67,15409.46,933.74
2026-01-03T07:00:00-06:00,24.52,17.907,17.915,1077,11618.67,43789.17,49975.03,28700,53,405.52,434,14600.44,13508.6,13618.93,15907.64,1621.37
2026-01-03T08:00:00-06:00,18.4,13.528,13.543,1077,11632,45211.25,50596.28,23504,57,9080.29,8191.5,12688.06,11270,15000.08,13472.82,-704.34
2026-01-03T09:00:00-06:00,14.2,4.575,9.163,1077,11664,46253.25,51475.42,17961,61,21046.19,19260,7383.88,8147.5,16116.86,10649.56,-2094.77
2026-01-03T10:00:00-06:00,13.8,7.835,14.293,1077,11687.67,46862.67,51584.35,18760,65,23064.71,22134.3,5017,5974.9,16034.96,11123.95,-1448.1
2026-01-03T11:00:00-06:00,13.91,11.793,17.277,1077,11668.33,47333.58,51166.44,19504,68,22979.93,22542.2,4802.03,5460.9,15964.38,11886.84,-1387.59
2026-01-03T12:00:00-06:00,14.15,13.112,13.707,1077,11645.5,47864.58,50547.6,20281,70,22701.45,22425,4872.84,4905.5,15578.07,11584.22,-1000.76
2026-01-03T13:00:00-06:00,15,13.962,13.962,1077,11547.67,48217.5,49787.59,21327,71,23410.12,22734.2,3500.35,4074.3,15574.42,11965.76,-837.32
2026-01-03T14:00:00-06:00,14.48,11.182,11.182,1077,11530.33,48524.42,49398.69,20747,71,24628.27,23828.4,3117.84,3428.5,15873.19,11668.57,-805.89
2026-01-03T15:00:00-06:00,14.37,2.015,2.015,1077,11410,48889.08,49415.66,21632,71,24174.24,23833.6,3087.82,3146.7,16151.44,13198.13,-828.4
2026-01-03T16:00:00-06:00,24.29,25.51,25.51,1077,11299.08,49149.42,49207.83,31185,69,15097.89,14800.6,2856.59,3161.8,14636.72,20873.62,843.62
2026-01-03T17:00:00-06:00,46.95,37.988,41.665,1077,11347.67,49585.92,49559.5,44866,64,1909.65,1768,2749.38,3799.2,10245.74,25792.77,6031.53
