Timestamp,ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - DA LMP - Latest (Now),ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Price - Hub: HB_BUSAVG - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Load - System Wide - ISO: Actual - Load - Latest (Now),ERCOT - Load - System Wide - ENV: Actual - Net Load - Latest (Now),ERCOT - Load - System Wide - ISO: Forecast - Load - Prior Day (Rolling),ERCOT - Generation - Solar - System Wide - ISO: Actual - Generation - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Generation - Wind - System Wide - ISO: Actual - Generation (5 min) - Latest (Now),ERCOT - Generation - Wind - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling)
2026-06-25T00:00:00,27.51,28.75,28.96,61798.36,42703.79,62171.8505,2.55,0.0,19092.02,20101.4
2026-06-25T01:00:00,26.75,25.33,25.52,59002.46,41096.59,58982.4106,1.77,0.0,17904.1,19715.8
2026-06-25T02:00:00,24.94,24.49,24.48,56952.82,39550.26,56544.0799,1.51,0.0,17401.05,19329.4
2026-06-25T03:00:00,24.74,26.05,25.77,55235.49,38857.21,54949.2595,1.43,0.0,16376.85,17621.0
2026-06-25T04:00:00,24.89,26.41,25.84,54629.28,38123.35,54345.2602,1.72,0.0,16504.21,16814.4
2026-06-25T05:00:00,26.95,25.36,25.19,55156.51,37755.6,54787.16,2.17,0.0,17398.74,16225.4
2026-06-25T06:00:00,25.67,25.87,25.37,55957.61,37841.55,55800.1808,249.89,311.5,17866.17,15900.7
2026-06-25T07:00:00,23.21,20.54,20.33,56997.52,34090.16,56875.4394,5050.46,6384.3,17856.9,15489.1
2026-06-25T08:00:00,19.32,16.8,16.19,59727.55,24686.93,59534.1386,16512.37,17198.4,18528.25,15744.7
2026-06-25T09:00:00,20.2,17.52,12.78,63296.87,18674.13,63122.1294,25069.3,24190.0,19553.44,16911.0
2026-06-25T10:00:00,22.66,21.68,7.12,66720.1,19447.46,67019.2288,28334.85,28737.9,18937.79,17722.3
2026-06-25T11:00:00,26.34,21.64,9.86,70466.43,21181.06,71062.93,30277.53,30911.2,19007.84,20168.5
2026-06-25T12:00:00,29.5,26.0,13.17,73716.92,23290.81,74551.8518,31030.64,32179.7,19395.47,21370.7
2026-06-25T13:00:00,35.8,27.32,13.51,76269.66,25852.17,77601.9205,30457.09,32678.4,19960.4,22831.1
2026-06-25T14:00:00,37.05,26.19,15.25,78067.02,28270.67,79424.5996,29027.47,32781.0,20768.88,24248.8
2026-06-25T15:00:00,38.36,26.76,16.13,79004.05,29756.98,80468.3597,27903.83,32943.0,21343.24,25783.0
