*,Platts Katy FDt Com
Date,Close
2021-01-01,2.325
2021-01-02,2.325
2021-01-03,2.325
2021-01-04,2.325
2021-01-05,2.5
2021-01-06,2.62
2021-01-07,2.675
2021-01-08,2.73
2021-01-09,2.68
2021-01-10,2.68
2021-01-11,2.68
2021-01-12,2.645
2021-01-13,2.815
2021-01-14,2.725
2021-01-15,2.7
2021-01-16,2.69
2021-01-17,2.69
2021-01-18,2.69
2021-01-19,2.69
2021-01-20,2.585
2021-01-21,2.43
2021-01-22,2.445
2021-01-23,2.4
2021-01-24,2.4
2021-01-25,2.4
2021-01-26,2.54
2021-01-27,2.625
2021-01-28,2.695
2021-01-29,2.58
2021-01-30,2.58
2021-01-31,2.58
2021-02-01,2.69
2021-02-02,2.755
2021-02-03,2.995
2021-02-04,2.8
2021-02-05,2.865
2021-02-06,3.215
2021-02-07,3.215
2021-02-08,3.215
2021-02-09,3.18
2021-02-10,3.24
2021-02-11,4.36
2021-02-12,10.81
2021-02-13,149.045
2021-02-14,149.045
2021-02-15,149.045
2021-02-16,149.045
2021-02-17,359.14
2021-02-18,244.5
2021-02-19,64.32
2021-02-20,4.68
2021-02-21,4.68
2021-02-22,4.68
2021-02-23,2.565
2021-02-24,2.665
2021-02-25,2.645
2021-02-26,2.48
2021-02-27,2.48
2021-02-28,2.48
2021-03-01,2.51
2021-03-02,2.58
2021-03-03,2.76
2021-03-04,2.725
2021-03-05,2.605
2021-03-06,2.52
2021-03-07,2.52
2021-03-08,2.52
2021-03-09,2.42
2021-03-10,2.42
2021-03-11,2.465
2021-03-12,2.43
2021-03-13,2.425
2021-03-14,2.425
2021-03-15,2.425
2021-03-16,2.37
2021-03-17,2.37
2021-03-18,2.4
2021-03-19,2.325
2021-03-20,2.305
2021-03-21,2.305
2021-03-22,2.305
2021-03-23,2.39
2021-03-24,2.385
2021-03-25,2.395
2021-03-26,2.415
2021-03-27,2.38
2021-03-28,2.38
2021-03-29,2.38
2021-03-30,2.44
2021-03-31,2.45
2021-04-01,2.47
2021-04-02,2.395
2021-04-03,2.395
2021-04-04,2.395
2021-04-05,2.395
2021-04-06,2.355
2021-04-07,2.39
2021-04-08,2.385
2021-04-09,2.42
2021-04-10,2.425
2021-04-11,2.425
2021-04-12,2.425
2021-04-13,2.515
2021-04-14,2.635
2021-04-15,2.67
2021-04-16,2.635
2021-04-17,2.71
2021-04-18,2.71
2021-04-19,2.71
2021-04-20,2.795
2021-04-21,2.81
2021-04-22,2.735
2021-04-23,2.76
2021-04-24,2.72
2021-04-25,2.72
