date,region,city_count,temp_max_f,temp_min_f,temp_mean_f,precipitation_in,cdd,hdd
2024-01-01,Texas 4-city average,4,57.65,42.925,50.175,0.025,0.0,14.825
2024-01-02,Texas 4-city average,4,51.55,39.275,45.475,0.635,0.0,19.525
2024-01-03,Texas 4-city average,4,55.75,42.725,47.95,0.298,0.0,17.05
2024-01-04,Texas 4-city average,4,58.175,38.725,48.375,0.04,0.0,16.625
2024-01-05,Texas 4-city average,4,62.325,45.85,52.825,0.654,0.0,12.175
2024-01-06,Texas 4-city average,4,59.775,38.475,48.6,0.0,0.0,16.4
2024-01-07,Texas 4-city average,4,61.45,37.25,49.375,0.004,0.0,15.625
2024-01-08,Texas 4-city average,4,68.375,51.6,58.75,0.688,0.0,6.25
2024-01-09,Texas 4-city average,4,53.35,38.85,45.825,0.018,0.0,19.175
2024-01-10,Texas 4-city average,4,65.025,35.275,49.175,0.0,0.0,15.825
2024-01-11,Texas 4-city average,4,71.45,45.4,58.475,0.015,0.0,6.525
2024-01-12,Texas 4-city average,4,63.275,37.225,50.175,0.042,0.0,14.825
2024-01-13,Texas 4-city average,4,61.275,33.075,46.125,0.0,0.0,18.875
2024-01-14,Texas 4-city average,4,41.25,24.0,32.575,0.011,0.0,32.425
2024-01-15,Texas 4-city average,4,35.275,19.0,26.15,0.063,0.0,38.85
2024-01-16,Texas 4-city average,4,31.7,16.8,23.5,0.0,0.0,41.5
2024-01-17,Texas 4-city average,4,44.225,18.675,30.425,0.0,0.0,34.575
2024-01-18,Texas 4-city average,4,65.0,37.1,48.1,0.0,0.0,16.9
2024-01-19,Texas 4-city average,4,47.175,33.3,40.625,0.0,0.0,24.375
2024-01-20,Texas 4-city average,4,41.375,25.975,33.425,0.0,0.0,31.575
2024-01-21,Texas 4-city average,4,40.325,34.975,37.55,0.088,0.0,27.45
2024-01-22,Texas 4-city average,4,60.575,41.225,51.2,1.321,0.0,13.8
2024-01-23,Texas 4-city average,4,65.275,53.325,58.225,0.585,0.0,6.775
2024-01-24,Texas 4-city average,4,61.875,53.875,57.225,1.055,0.0,7.775
2024-01-25,Texas 4-city average,4,66.325,48.625,56.6,0.473,0.0,8.4
2024-01-26,Texas 4-city average,4,64.775,44.75,54.125,0.261,0.0,10.875
2024-01-27,Texas 4-city average,4,59.3,45.675,52.675,0.081,0.0,12.325
2024-01-28,Texas 4-city average,4,61.825,38.65,48.875,0.0,0.0,16.125
2024-01-29,Texas 4-city average,4,67.025,39.225,52.125,0.0,0.0,12.875
2024-01-30,Texas 4-city average,4,69.425,44.75,55.45,0.0,0.0,9.55
2024-01-31,Texas 4-city average,4,70.325,43.85,55.95,0.0,0.0,9.05
2024-02-01,Texas 4-city average,4,70.375,48.9,59.1,0.004,0.0,5.9
2024-02-02,Texas 4-city average,4,69.525,54.575,61.65,0.354,0.0,3.35
2024-02-03,Texas 4-city average,4,70.45,52.3,61.05,1.049,0.0,3.95
2024-02-04,Texas 4-city average,4,65.575,49.9,57.15,0.017,0.0,7.85
2024-02-05,Texas 4-city average,4,63.375,50.45,55.575,0.0,0.0,9.425
2024-02-06,Texas 4-city average,4,65.075,41.525,53.5,0.0,0.0,11.5
2024-02-07,Texas 4-city average,4,68.675,45.95,57.475,0.0,0.0,7.525
2024-02-08,Texas 4-city average,4,71.65,59.275,64.325,0.028,0.0,0.675
2024-02-09,Texas 4-city average,4,75.05,58.6,65.6,0.029,0.6,0.0
2024-02-10,Texas 4-city average,4,67.6,58.875,62.675,0.661,0.0,2.325
2024-02-11,Texas 4-city average,4,65.025,48.6,59.35,0.277,0.0,5.65
2024-02-12,Texas 4-city average,4,58.325,42.175,48.75,0.003,0.0,16.25
2024-02-13,Texas 4-city average,4,63.1,38.55,50.05,0.0,0.0,14.95
2024-02-14,Texas 4-city average,4,65.95,42.875,54.7,0.0,0.0,10.3
2024-02-15,Texas 4-city average,4,71.15,53.6,61.95,0.01,0.0,3.05
2024-02-16,Texas 4-city average,4,71.1,54.9,62.625,0.105,0.0,2.375
2024-02-17,Texas 4-city average,4,54.05,39.325,45.4,0.002,0.0,19.6
2024-02-18,Texas 4-city average,4,51.75,32.125,41.75,0.0,0.0,23.25
2024-02-19,Texas 4-city average,4,64.3,36.25,49.25,0.0,0.0,15.75
2024-02-20,Texas 4-city average,4,75.2,45.05,59.325,0.0,0.0,5.675
2024-02-21,Texas 4-city average,4,76.825,56.475,65.4,0.0,0.4,0.0
2024-02-22,Texas 4-city average,4,81.2,61.5,68.7,0.003,3.7,0.0
2024-02-23,Texas 4-city average,4,72.775,55.2,63.6,0.0,0.0,1.4
2024-02-24,Texas 4-city average,4,76.0,46.4,61.85,0.0,0.0,3.15
2024-02-25,Texas 4-city average,4,81.375,55.475,66.875,0.0,1.875,0.0
2024-02-26,Texas 4-city average,4,86.3,59.325,71.0,0.0,6.0,0.0
2024-02-27,Texas 4-city average,4,83.575,64.775,72.575,0.001,7.575,0.0
2024-02-28,Texas 4-city average,4,71.25,47.875,58.375,0.007,0.0,6.625
2024-02-29,Texas 4-city average,4,53.625,45.675,48.875,0.197,0.0,16.125
2024-03-01,Texas 4-city average,4,70.0,43.475,55.45,0.016,0.0,9.55
2024-03-02,Texas 4-city average,4,76.8,49.0,62.425,0.001,0.0,2.575
2024-03-03,Texas 4-city average,4,79.85,59.825,68.65,0.033,3.65,0.0
2024-03-04,Texas 4-city average,4,80.925,65.275,71.675,0.096,6.675,0.0
2024-03-05,Texas 4-city average,4,83.45,59.9,70.8,0.069,5.8,0.0
2024-03-06,Texas 4-city average,4,80.9,56.425,67.875,0.002,2.875,0.0
2024-03-07,Texas 4-city average,4,76.05,62.6,68.6,0.286,3.6,0.0
2024-03-08,Texas 4-city average,4,78.9,56.7,68.9,0.379,3.9,0.0
2024-03-09,Texas 4-city average,4,62.5,46.3,53.8,0.0,0.0,11.2
2024-03-10,Texas 4-city average,4,64.45,44.075,54.9,0.0,0.0,10.1
2024-03-11,Texas 4-city average,4,72.2,48.45,59.8,0.006,0.0,5.2
2024-03-12,Texas 4-city average,4,76.475,54.2,64.975,0.003,0.0,0.025
2024-03-13,Texas 4-city average,4,83.775,62.5,71.45,0.014,6.45,0.0
2024-03-14,Texas 4-city average,4,83.475,67.6,73.9,0.313,8.9,0.0
2024-03-15,Texas 4-city average,4,76.925,64.0,69.675,0.31,4.675,0.0
2024-03-16,Texas 4-city average,4,72.4,61.55,66.025,0.364,1.025,0.0
2024-03-17,Texas 4-city average,4,71.4,59.525,64.975,0.303,0.0,0.025
2024-03-18,Texas 4-city average,4,64.15,51.875,58.1,0.026,0.0,6.9
2024-03-19,Texas 4-city average,4,62.3,44.25,53.575,0.02,0.0,11.425
2024-03-20,Texas 4-city average,4,68.125,49.275,58.725,0.007,0.0,6.275
2024-03-21,Texas 4-city average,4,71.55,58.25,63.225,0.875,0.0,1.775
2024-03-22,Texas 4-city average,4,75.625,55.65,64.475,0.026,0.0,0.525
2024-03-23,Texas 4-city average,4,71.25,51.85,61.525,0.001,0.0,3.475
2024-03-24,Texas 4-city average,4,73.85,57.4,65.05,0.045,0.05,0.0
2024-03-25,Texas 4-city average,4,76.35,54.525,66.575,0.546,1.575,0.0
2024-03-26,Texas 4-city average,4,64.625,47.1,55.95,0.001,0.0,9.05
